1:485,0,27,9,243
2:466,0,16,45,963
3:478,45,33,31,1986
4:486,76,24,14,2322
5:0,90,15,35,2847
6:430,45,48,20,3807
7:450,90,62,27,5481
8:430,117,44,30,6801
9:430,65,18,30,7341
10:382,65,47,63,10302
11:458,147,15,27,10707
12:382,0,15,44,11367
13:471,319,41,51,13458
14:0,125,17,54,14376
15:486,117,25,43,15451
16:474,160,28,37,16487
17:456,370,55,61,19842
18:15,179,37,37,21211
19:52,179,43,29,22458
20:404,378,50,43,24608
21:379,385,20,54,25688
22:397,0,39,44,27404
23:52,208,40,9,27764
24:502,160,10,56,28324
25:0,217,53,10,28854
26:0,0,62,55,32264
27:0,227,43,59,34801
28:478,197,12,11,34933
29:486,208,16,37,35525
30:53,217,45,12,36065
31:62,44,46,18,36893
32:15,62,58,54,40025
33:17,116,19,63,41222
34:36,116,16,24,41606
35:52,116,15,54,42416
36:67,116,33,29,43373
37:108,44,47,19,44266
38:484,282,28,15,44686
39:36,140,16,15,44926
40:95,145,13,48,45550
41:95,193,43,23,46539
42:108,145,59,16,47483
43:155,161,22,44,48451
44:36,170,52,9,48919
45:108,216,34,13,49361
46:177,161,50,42,51461
47:227,0,21,48,52469
48:248,0,36,57,54521
49:284,44,57,21,55718
50:284,0,17,44,56466
51:248,57,24,57,57834
52:167,0,59,17,58837
53:177,203,37,14,59355
54:399,421,55,48,61995
55:167,17,59,45,64650
56:142,217,60,13,65430
57:167,114,31,39,66639
58:198,114,62,23,68065
59:399,469,40,43,69785
60:481,297,16,22,70137
61:439,469,47,42,72111
62:341,44,30,21,72741
63:260,114,30,13,73131
64:227,137,21,11,73362
65:454,431,57,34,75300
66:290,65,29,63,77127
67:319,65,34,61,79201
68:100,114,38,18,79885
69:0,439,53,62,83171
70:0,381,16,58,84099
71:198,62,45,36,85719
72:341,0,40,39,87279
73:0,356,37,23,88130
74:100,132,25,13,88455
75:301,0,32,43,89831
76:16,315,51,35,91616
77:155,62,39,45,93371
78:16,379,47,60,96191
79:260,128,24,12,96479
80:62,0,61,41,98980
81:272,65,18,26,99448
82:155,107,12,34,99856
83:333,0,8,18,100000
84:37,350,51,29,101479
85:73,63,39,49,103390
86:260,140,15,11,103555
87:108,161,41,31,104826
88:371,44,35,17,105421
89:112,63,39,31,106630
90:202,229,21,53,107743
91:67,291,34,47,109341
92:198,151,25,10,109591
93:88,364,63,13,110410
94:101,229,41,43,112173
95:88,347,59,17,113176
96:43,230,58,53,116250
97:147,304,64,58,119962
98:211,337,39,60,122302
99:151,376,57,25,123727
100:371,61,8,64,124239
101:250,347,12,12,124383
102:250,359,22,20,124823
103:272,376,33,44,126275
104:101,272,46,10,126735
105:123,0,29,43,127982
106:101,282,45,39,129737
107:0,291,47,23,130818
108:146,282,61,22,132160
109:485,9,13,36,132628
110:211,291,19,25,133103
111:147,230,50,37,134953
112:88,377,44,28,136185
113:227,148,9,18,136347
114:47,283,20,31,136967
115:208,397,54,23,138209
116:53,439,44,57,140717
117:236,148,12,10,140837
118:112,94,35,20,141537
119:305,381,11,63,142230
120:305,444,38,46,143978
121:97,444,62,62,147822
122:67,338,48,9,148254
123:159,490,41,20,149074
124:97,420,51,23,150247
125:316,386,41,52,152379
126:200,490,57,21,153576
127:343,438,36,45,155196
128:151,362,45,14,155826
129:115,338,26,9,156060
130:257,420,46,25,157210
131:159,420,64,63,161242
132:223,445,35,40,162642
133:148,401,51,19,163611
134:258,445,33,55,165426
135:63,379,25,45,166551
136:343,483,51,24,167775
공간 효율 : 0.640011
